person_id,name,name_cn,name_en,性别,星座,出生日期,出生地,职业,imdb编号,image,更多外文名,更多中文名,家庭成员,生卒日期,去世日期
1349765,文牧野 Muye Wen,文牧野,Muye Wen,男,水瓶座,1985年02月14日,中国,导演 / 编剧 / 制片人 / 演员 / 剪辑,nm6337063,https://img2.doubanio.com/view/celebrity/raw/public/p1563174692.41.jpg,,,,,
1047973,弗兰克·德拉邦特 Frank Darabont,弗兰克·德拉邦特,Frank Darabont,男,水瓶座,1959年01月28日,"法国,杜省,蒙贝利亚尔",编剧 / 导演 / 制片人 / 演员,nm0001104,https://img1.doubanio.com/view/celebrity/raw/public/p230.jpg,Frank A. Darabont,弗兰克·达拉邦特,,,
1054524,克里斯托弗·诺兰 Christopher Nolan,克里斯托弗·诺兰,Christopher Nolan,男,狮子座,1970年07月30日,"英国,伦敦",制片人 / 编剧 / 导演 / 摄影 / 剪辑,nm0634240,https://img1.doubanio.com/view/personage/raw/public/7b089a8ecf2308f98d5912ec00b9a91c.jpg,Christopher Johnathan James Nolan (本名) / Chris (昵称),克里斯多福·诺蓝 / 基斯杜化路兰(港),乔纳森·诺兰(弟) / 艾玛·托马斯(妻),,
1328441,饺子 Yu Yang,饺子,Yu Yang,男,,1980年,"中国,四川,泸州",导演 / 编剧 / 剪辑 / 美术 / 制片人,nm1169562,https://img1.doubanio.com/view/celebrity/raw/public/p1547719747.9.jpg,Jokelate,饺克力 / 杨宇(本名),,,
1054439,宫崎骏 Hayao Miyazaki,宫崎骏,Hayao Miyazaki,男,摩羯座,+1941年01月05日,"日本,东京",编剧 / 导演 / 制片人 / 动画 / 演员,nm0594503,https://img9.doubanio.com/view/celebrity/raw/public/p616.jpg,宮﨑駿 / みやざき はやお / the Japanese Walt Disney (昵称),,宫崎吾朗(长子),,
1286985,拜伦·霍华德 Byron Howard,拜伦·霍华德,Byron Howard,男,摩羯座,1968年12月26日,美国,导演 / 编剧 / 配音 / 制片人,nm0397174,https://img9.doubanio.com/view/celebrity/raw/public/p1457505519.94.jpg,Byron P. Howard,布莱恩·霍华德,,,
1324037,瑞奇·摩尔 Rich Moore,瑞奇·摩尔,Rich Moore,男,金牛座,1963年05月10日,美国,导演 / 编剧 / 配音 / 制片人 / 演员,nm0601781,https://img1.doubanio.com/view/celebrity/raw/public/p1457505501.8.jpg,,瑞奇·莫尔 / 里奇·摩尔,,,
1304069,杰拉德·布什 Jared Bush,杰拉德·布什,Jared Bush,男,,,美国,编剧 / 配音 / 导演 / 制片人,nm1158544,https://img9.doubanio.com/view/celebrity/raw/public/p1456810614.66.jpg,,,,,
1274534,曾国祥 Derek Tsang,曾国祥,Derek Tsang,男,天蝎座,1979年11月08日,"中国,香港",演员 / 导演 / 编剧 / 剪辑 / 制片人,nm1229124,https://img1.doubanio.com/view/personage/raw/public/6111d62253f11f2935a16b74fda185c9.jpg,Kwok Cheung Tsang,,"曾志伟(父), 曾宝仪(姐), 曾咏仪(姐), 曾国犹(弟), 王敏奕(妻)",,
1022652,格蕾塔·葛韦格 Greta Gerwig,格蕾塔·葛韦格,Greta Gerwig,女,狮子座,1983年08月04日,"美国,加利福尼亚州,萨克拉门托",演员 / 编剧 / 导演 / 配音 / 制片人,nm1950086,https://img9.doubanio.com/view/celebrity/raw/public/p1513870447.95.jpg,Greta Celeste Gerwig (本名),格雷塔·盖尔维格 / 格里塔·格文格 / 格蕾塔·格维希,诺亚·鲍姆巴赫(男友),,
1022571,詹姆斯·卡梅隆 James Cameron,詹姆斯·卡梅隆,James Cameron,男,狮子座,1954年08月16日,"加拿大,安大略,卡普斯卡辛",制片人 / 编剧 / 导演 / 演员 / 剪辑,nm0000116,https://img9.doubanio.com/view/personage/raw/public/ddae9d320a1e4ce437cd9b7190567c24.jpg,James Francis Cameron(本名) / Jim(昵称) / Iron Jim(昵称),占士·金马伦 / 詹姆斯·卡麦隆 / 詹姆斯·卡梅伦 / 詹姆士·柯麦隆 / 詹姆斯·弗朗西斯·卡梅隆(本名),Sharon Williams(前妻)      / Gale Anne Hurd(前妻)    / 凯瑟琳·毕格罗(前妻)    / 琳达·汉密尔顿(前妻)    / 苏茜·爱米斯(妻),,
1031876,吕克·贝松 Luc Besson,吕克·贝松,Luc Besson,男,双鱼座,1959年03月18日,"法国,巴黎",制片人 / 编剧 / 导演 / 演员 / 选角,nm0000108,https://img2.doubanio.com/view/celebrity/raw/public/p33301.jpg,,洛·比桑(港) / 卢·贝松(台) / 路·比桑,Virginie Silla(妻) / Anne Parillaud(前妻) / Maïwenn Le Besco(前妻) / Milla Jovovich(前妻),,
1036662,彼得·法雷里 Peter Farrelly,彼得·法雷里,Peter Farrelly,男,射手座,1956年12月17日,"美国,宾夕法尼亚州,菲尼克斯维尔",导演 / 编剧 / 制片人 / 演员,nm0268380,https://img1.doubanio.com/view/celebrity/raw/public/p29610.jpg,Peter John Farrelly (本名),彼得·法拉利 / 彼得·法雷利,,,
1366907,涅提·蒂瓦里 Nitesh Tiwari,涅提·蒂瓦里,Nitesh Tiwari,男,,,,编剧 / 导演 / 制片人,nm4318159,https://img9.doubanio.com/view/celebrity/raw/public/p1484120321.24.jpg,,尼特什·提瓦瑞,Ashwiny Iyer Tiwari(妻),,
