movie_id,性别,星座,出生日期,出生地,职业,imdb编号,image,更多外文名,更多中文名,家庭成员,生卒日期,去世日期
1349765,男,水瓶座,1985年02月14日,中国,导演 / 编剧 / 制片人 / 演员 / 剪辑,nm6337063,https://img2.doubanio.com/view/celebrity/raw/public/p1563174692.41.jpg,,,,,
1047973,男,水瓶座,1959年01月28日,"法国,杜省,蒙贝利亚尔",编剧 / 导演 / 制片人 / 演员,nm0001104,https://img1.doubanio.com/view/celebrity/raw/public/p230.jpg,Frank A. Darabont,弗兰克·达拉邦特,,,
1054524,男,狮子座,1970年07月30日,"英国,伦敦",制片人 / 编剧 / 导演 / 摄影 / 剪辑,nm0634240,https://img1.doubanio.com/view/personage/raw/public/7b089a8ecf2308f98d5912ec00b9a91c.jpg,Christopher Johnathan James Nolan (本名) / Chris (昵称),克里斯多福·诺蓝 / 基斯杜化路兰(港),乔纳森·诺兰(弟) / 艾玛·托马斯(妻),,
1328441,男,,1980年,"中国,四川,泸州",导演 / 编剧 / 剪辑 / 美术 / 制片人,nm1169562,https://img1.doubanio.com/view/celebrity/raw/public/p1547719747.9.jpg,Jokelate,饺克力 / 杨宇(本名),,,
1054439,男,摩羯座,+1941年01月05日,"日本,东京",编剧 / 导演 / 制片人 / 动画 / 演员,nm0594503,https://img9.doubanio.com/view/celebrity/raw/public/p616.jpg,宮﨑駿 / みやざき はやお / the Japanese Walt Disney (昵称),,宫崎吾朗(长子),,
1286985,男,摩羯座,1968年12月26日,美国,导演 / 编剧 / 配音 / 制片人,nm0397174,https://img9.doubanio.com/view/celebrity/raw/public/p1457505519.94.jpg,Byron P. Howard,布莱恩·霍华德,,,
1324037,男,金牛座,1963年05月10日,美国,导演 / 编剧 / 配音 / 制片人 / 演员,nm0601781,https://img1.doubanio.com/view/celebrity/raw/public/p1457505501.8.jpg,,瑞奇·莫尔 / 里奇·摩尔,,,
1304069,男,,,美国,编剧 / 配音 / 导演 / 制片人,nm1158544,https://img9.doubanio.com/view/celebrity/raw/public/p1456810614.66.jpg,,,,,
1274534,男,天蝎座,1979年11月08日,"中国,香港",演员 / 导演 / 编剧 / 剪辑 / 制片人,nm1229124,https://img1.doubanio.com/view/personage/raw/public/6111d62253f11f2935a16b74fda185c9.jpg,Kwok Cheung Tsang,,"曾志伟(父), 曾宝仪(姐), 曾咏仪(姐), 曾国犹(弟), 王敏奕(妻)",,
1022652,女,狮子座,1983年08月04日,"美国,加利福尼亚州,萨克拉门托",演员 / 编剧 / 导演 / 配音 / 制片人,nm1950086,https://img9.doubanio.com/view/celebrity/raw/public/p1513870447.95.jpg,Greta Celeste Gerwig (本名),格雷塔·盖尔维格 / 格里塔·格文格 / 格蕾塔·格维希,诺亚·鲍姆巴赫(男友),,
1022571,男,狮子座,1954年08月16日,"加拿大,安大略,卡普斯卡辛",制片人 / 编剧 / 导演 / 演员 / 剪辑,nm0000116,https://img9.doubanio.com/view/personage/raw/public/ddae9d320a1e4ce437cd9b7190567c24.jpg,James Francis Cameron(本名) / Jim(昵称) / Iron Jim(昵称),占士·金马伦 / 詹姆斯·卡麦隆 / 詹姆斯·卡梅伦 / 詹姆士·柯麦隆 / 詹姆斯·弗朗西斯·卡梅隆(本名),Sharon Williams(前妻)      / Gale Anne Hurd(前妻)    / 凯瑟琳·毕格罗(前妻)    / 琳达·汉密尔顿(前妻)    / 苏茜·爱米斯(妻),,
1031876,男,双鱼座,1959年03月18日,"法国,巴黎",制片人 / 编剧 / 导演 / 演员 / 选角,nm0000108,https://img2.doubanio.com/view/celebrity/raw/public/p33301.jpg,,洛·比桑(港) / 卢·贝松(台) / 路·比桑,Virginie Silla(妻) / Anne Parillaud(前妻) / Maïwenn Le Besco(前妻) / Milla Jovovich(前妻),,
1036662,男,射手座,1956年12月17日,"美国,宾夕法尼亚州,菲尼克斯维尔",导演 / 编剧 / 制片人 / 演员,nm0268380,https://img1.doubanio.com/view/celebrity/raw/public/p29610.jpg,Peter John Farrelly (本名),彼得·法拉利 / 彼得·法雷利,,,
1366907,男,,,,编剧 / 导演 / 制片人,nm4318159,https://img9.doubanio.com/view/celebrity/raw/public/p1484120321.24.jpg,,尼特什·提瓦瑞,Ashwiny Iyer Tiwari(妻),,
1022678,男,狮子座,1967年08月08日,"美国,俄亥俄州克利夫兰市",导演 / 剪辑 / 配音 / 编剧 / 制片人,nm0881279,https://img1.doubanio.com/view/celebrity/raw/public/p13830.jpg,Lee Edward Unkrich (本名),里·昂克里奇,,,
1370425,男,处女座,1985年08月23日,"Yuba City, CA",编剧 / 导演,nm2937122,https://img2.doubanio.com/view/celebrity/raw/public/p1497195148.21.jpg,,阿德里安·莫里纳,Ryan Dooley (伴侣),,
1023040,男,狮子座,1952年08月12日,"中国,北京",导演 / 编剧 / 演员 / 制片人 / 美术,nm0155280,https://img9.doubanio.com/view/personage/raw/public/03037b9efcfd5a2e33c9f5df51d94815.jpg,Chen Kai Ge / Chen Kaige / 첸 카이거,陈皑鸽(别名),陈怀皑(父) / 陈红(妻) / 陈雨昂(长子) / 陈飞宇(次子) / 洪晃(前妻),,
1031903,男,双鱼座,1947年03月06日,"美国,纽约,布朗克斯",演员 / 导演 / 制片人 / 编剧 / 配音,nm0001661,https://img2.doubanio.com/view/celebrity/raw/public/p1379484184.83.jpg,Robert Norman Reiner (本名),罗伯·雷尼尔 / 罗伯·赖纳 / 罗伯·雷恩,,,
1286677,男,天蝎座,1962年11月20日,"印度,那格浦尔",编剧 / 导演 / 制片人 / 剪辑 / 演员,nm0386246,https://img1.doubanio.com/view/celebrity/raw/public/p16549.jpg,Raju Hirani,拉库马·希拉尼,,,
1005177,男,水瓶座,1973年02月09日,"日本,长野,南佐久",编剧 / 导演 / 摄影 / 剪辑 / 制片人,nm1396121,https://img1.doubanio.com/view/personage/raw/public/8e0438735ffb77e132932686ad8c78ed.jpg,しんかい まこと(假名) / The New Hayao Miyazaki(昵称) / Makoto Niitsu(本名) / Shinkai Makoto,新津诚(本名),三坂知绘子(妻) / 新津知世(女),,
1049716,男,处女座,1958年09月10日,"美国,宾夕法尼亚州,斯潘格勒",制片人 / 导演 / 编剧 / 演员,nm0001060,https://img1.doubanio.com/view/celebrity/raw/public/p10680.jpg,Christopher Columbus (本名),,Brendan Columbus(儿子) / Eleanor Columbus(女儿) / Violet Columbus(女儿) / Isabella Columbus(女儿),,
1062919,男,处女座,1969年09月14日,"韩国,大邱,广域市",编剧 / 导演 / 制片人 / 演员 / 剪辑,nm0094435,https://img9.doubanio.com/view/personage/raw/public/aa0a5f38b6915450265cd4a913962b45.jpg,봉준호 / Pong Chunho / Bong Jun-ho,,郑善英（妻） / 奉孝旻（子）,,
1054440,男,射手座,1946年12月18日,"美国,俄亥俄州,辛辛那提",制片人 / 演员 / 导演 / 编剧 / 副导演,nm0000229,https://img1.doubanio.com/view/personage/raw/public/b4a6321d293a5c936ca7a29b5c07ad8c.jpg,Steven Allan Spielberg (本名),史提芬·史匹堡(港) / 史蒂芬·斯皮尔伯格 / 斯蒂文·斯皮尔伯格 / 史蒂芬·史匹柏(台),阿诺德·斯皮尔伯格(父) / 莉亚·阿德勒(母) / 凯特·卡普肖(妻) / 萨沙·斯皮尔伯格(女) / 西奥·斯皮尔伯格(子) / 马克斯·斯皮尔伯格(子),,
1045093,男,金牛座,1967年05月20日,"意大利,罗马",导演 / 编剧 / 制片人 / 演员,nm0610831,https://img1.doubanio.com/view/celebrity/raw/public/p20409.jpg,,加布里尔·穆奇诺,,,
1321812,男,,1970年,美国,制片人 / 导演 / 编剧 / 演员 / 剪辑,nm0751577,https://img1.doubanio.com/view/celebrity/raw/public/p1555672594.77.jpg,Anthony J. Russo (本名),安东尼·卢素,乔·罗素(弟),,
1320870,男,,1971年,美国,制片人 / 导演 / 演员 / 编剧 / 剪辑,nm0751648,https://img9.doubanio.com/view/personage/raw/public/b7f8b35eb2fa51721aff0761b63ad246.jpg,Joseph Vincent Russo (本名),乔·卢素,安东尼·罗素(哥),,
