person_id,movie_id,movie_role
1349765,26752088,director
1047973,1292052,director
1054524,3541415,director
1328441,26794435,director
1054439,1291561,director
1286985,25662329,director
1324037,25662329,director
1304069,25662329,director
1274534,30166972,director
1022652,26348103,director
1022571,1292722,director
1054524,1889243,director
1031876,1295644,director
1036662,27060077,director
1366907,26387939,director
1022678,20495023,director
1370425,20495023,director
1023040,1291546,director
1031903,3319755,director
1286677,3793023,director
1005177,26683290,director
1049716,1295038,director
1062919,27010768,director
1022721,1292064,director
1322175,25986180,director
1054440,4920389,director
1045093,1849031,director
1321812,26100958,director
1320870,26100958,director
1018014,3011091,director
1275745,30170448,director
1021999,3742360,director
1054439,1291560,director
1275075,26861685,director
1048021,30252495,director
1326752,27110296,director
1323799,26580232,director
1277959,1291549,director
1106979,1307914,director
1126158,1307914,director
1022803,2129039,director
1294383,2129039,director
1036390,27119724,director
1321812,24773958,director
1320870,24773958,director
1054421,1929463,director
1306786,30334073,director
1022571,1652587,director
1274246,1306249,director
1036450,2131459,director
1014716,26425063,director
1054440,1295124,director
1054439,1308807,director
1310636,11026735,director
1300949,11026735,director
1274351,27622447,director
1036605,30318116,director
1362256,25921812,director
1362257,25921812,director
1313061,3287562,director
1295449,3287562,director
1054524,1851857,director
1048026,1302425,director
1274246,1302425,director
1317274,5912992,director
1001404,6786002,director
1010884,6786002,director
1019002,1292370,director
1049716,1296996,director
1035651,1293172,director
1054440,1305487,director
1313103,4739952,director
1313104,4739952,director
1010552,1866479,director
1036409,1291544,director
1010691,1293839,director
1275147,3011235,director
1054530,26325320,director
1027164,1432146,director
1031987,1298070,director
1054518,1292215,director
1331673,27024903,director
1285579,26799731,director
1044872,11525673,director
1054425,2334904,director
1028844,21937452,director
1012521,1485260,director
1326818,1907966,director
1032241,1907966,director
1000304,26611804,director
1279265,1292343,director
1285555,1292343,director
1275147,1457217,director
1092322,7065154,director
1280664,1297447,director
1013899,1291843,director
1161012,1291843,director
1055265,1298624,director
1274265,1862151,director
1310107,26374197,director
1324415,26374197,director
1296189,26374197,director
1379633,26709258,director
1334351,26709258,director
1436096,26709258,director
1275041,1418200,director
1040524,1291571,director
1092322,25937854,director
1012521,1292223,director
1012521,21318488,director
1033402,25958717,director
1321812,6390823,director
1320870,6390823,director
1018302,2353023,director
1032241,2353023,director
1014996,25934014,director
1005064,1292220,director
1070754,26787574,director
1076354,30170546,director
1032064,1293544,director
1274278,25716096,director
1304615,26393561,director
1040524,1291552,director
1054524,1780330,director
1276314,26336252,director
1062919,1300299,director
1279552,4202982,director
1335174,4202982,director
1319978,10777687,director
1054416,25864085,director
1054421,1828115,director
1274331,1297518,director
1041021,1292656,director
1022803,1291579,director
1032493,1291579,director
1022678,1291579,director
1054524,3395373,director
1036395,1297192,director
1041024,1291999,director
1274962,3011051,director
1345498,26277313,director
1032275,1300267,director
1010711,1300267,director
1012588,1300267,director
1025246,1296339,director
1275191,5989818,director
1040673,10577869,director
1054439,1297359,director
1286490,3008247,director
1054439,1307811,director
1338840,21937445,director
1009704,1291578,director
1032454,1291578,director
1333600,21360417,director
1054398,3649049,director
1049678,27202818,director
1393516,27615441,director
1054385,1296141,director
1038123,26628357,director
1054421,1291818,director
1018030,3075287,director
1021999,1291858,director
1049929,1294408,director
1041000,1978709,director
1054421,1418834,director
1036395,6538866,director
1031852,24405378,director
1315309,1418019,director
1022803,10533913,director
1282165,10533913,director
1299674,10463953,director
1274278,24719063,director
1348615,6850547,director
1027853,1297574,director
1023888,26614893,director
1017986,1309163,director
1054439,1959877,director
1000420,1482072,director
1054420,1296736,director
1041024,1292328,director
1341214,26647117,director
1054419,1299131,director
1342405,25807345,director
1274431,1316510,director
1022678,1858711,director
1307788,20438964,director
1324037,20438964,director
1014996,25773932,director
1053554,1395091,director
1324037,6534248,director
1025246,1291990,director
1314163,4202302,director
1315887,4917726,director
1015633,25814705,director
1331648,27059130,director
1041024,1292679,director
1032122,23761370,director
1025148,1293350,director
1341214,25917973,director
1041024,1291557,director
1027514,25980443,director
1316646,27119586,director
1395674,27119586,director
1044973,1900841,director
1054440,1292274,director
1015633,25814707,director
1022570,1297630,director
1019002,1291545,director
1021999,1291875,director
1037497,25724855,director
1036395,25765735,director
1054444,6307447,director
1110585,1297052,director
1312987,30292777,director
1288263,5322596,director
1274351,25895901,director
1075862,3734112,director
1274943,3734112,director
1031903,1867345,director
1025246,10808442,director
1053561,1292224,director
1010627,1293182,director
1054439,1291585,director
1274300,25798222,director
1054425,6981153,director
1275041,26761416,director
1001640,26259677,director
1032122,1417598,director
1045236,6985810,director
1049586,10485647,director
1007152,1303394,director
1293683,1783457,director
1298420,1783457,director
1010314,24750126,director
1056046,3592854,director
1293683,20645098,director
1054530,1294639,director
1137414,25977027,director
1041024,3821067,director
1049688,26593587,director
1319263,27113517,director
1054439,6791750,director
1313061,4915857,director
1295449,4915857,director
1274495,4268598,director
1019002,1309101,director
1161012,1302467,director
1013899,1302467,director
1161012,1304141,director
1013899,1304141,director
1041024,1305690,director
1028333,10512661,director
1275039,1303021,director
1286677,10741643,director
1280127,6874403,director
1054436,26416603,director
1027776,1794171,director
1274537,1793929,director
1313689,26340419,director
1054444,1291580,director
1319989,10437779,director
1274998,4023638,director
1047989,1760622,director
1053554,1307394,director
1275191,27166442,director
1411453,27166442,director
1274351,1292337,director
1013894,1292262,director
1013917,1291575,director
1002724,1294371,director
1054412,2133323,director
1054440,1302827,director
1031987,1315574,director
1274265,3804891,director
1289170,1959195,director
1053554,1310177,director
1307573,1310177,director
1319466,1292287,director
1040593,1308779,director
1214705,3011308,director
1042117,30257175,director
1054421,1301168,director
1290066,4286017,director
1031921,1306809,director
1054436,1300992,director
1040524,1966182,director
1040524,2973079,director
1031852,3168089,director
1344038,24875534,director
1036917,1291822,director
1054440,1294638,director
1333323,27019527,director
1025148,30211998,director
1328274,27024959,director
1158861,2149806,director
1040524,11606328,director
1041380,1293318,director
1054421,25983044,director
1296922,26871906,director
1049576,3006772,director
1323266,26419637,director
1382997,27172891,director
1047973,1300374,director
1316862,1428581,director
1321910,1428581,director
1106979,1307106,director
1126158,1307106,director
1049716,1293088,director
1005319,1308857,director
1040843,3274505,director
1274246,1307739,director
1048026,1307739,director
1025193,1308767,director
1022571,1291844,director
1014211,26685451,director
1054444,1438652,director
1054533,1292226,director
1018094,26654498,director
1027204,3068206,director
1002774,1291870,director
1022741,4746257,director
1310558,26794701,director
1301570,3233635,director
1013917,1291574,director
1279193,1291574,director
1022678,1291574,director
1027831,6722879,director
1005177,20470074,director
1274299,1937946,director
1014177,3072124,director
1316862,1307315,director
1282456,1307315,director
1319060,1307315,director
1378464,26346327,director
1036450,1291586,director
1022678,1291586,director
1275604,1304073,director
1326282,25837262,director
1306202,25837262,director
1045285,24815950,director
1275604,1292286,director
1054529,1291879,director
1014069,30331959,director
1274331,1297223,director
1280664,1297223,director
1335397,26615208,director
1054533,1292233,director
1316577,25919910,director
1303814,26354572,director
1366253,26354572,director
1054416,1291824,director
1025185,1293181,director
1054440,1292523,director
1000242,1820156,director
1028033,1293964,director
1417708,1293964,director
1274331,1300883,director
1314120,4876722,director
1329645,3789848,director
1044993,2213597,director
1054439,1291838,director
1275041,1950148,director
1054421,1303037,director
1053585,1292329,director
1018008,1300117,director
1004746,25954475,director
1365892,4848115,director
1031931,2363506,director
1106979,1307694,director
1126158,1307694,director
1032461,2300586,director
1164069,26815162,director
1012521,3205624,director
1053564,1298653,director
1160765,1308575,director
1012516,1292484,director
1340565,30241298,director
1274351,26694988,director
1027853,1292659,director
1014069,10757577,director
1274998,3071604,director
1054436,25842038,director
1018008,1419936,director
1300355,25938803,director
1336198,25769362,director
1301398,25769362,director
1281025,1300064,director
1324596,5908478,director
1054416,1300868,director
1274265,2124703,director
1338840,26863778,director
1390081,27018285,director
1313122,1863766,director
1286985,1863766,director
1036409,1950330,director
1054404,1292528,director
1336349,27040737,director
1320263,26683421,director
1360686,27002635,director
1044872,26640371,director
1274255,1303173,director
1054398,1306505,director
1396813,30234315,director
1054444,1291584,director
1054401,26952704,director
1054517,26952704,director
1019002,1309060,director
1287802,1309060,director
1027877,1295865,director
1000176,1301459,director
1315328,2286642,director
1312650,6879185,director
1002735,26303622,director
1048021,1292062,director
1280469,1299643,director
1040593,1293013,director
1285940,3552028,director
1314360,27160618,director
1002724,1293908,director
1053564,1300555,director
1054416,1291839,director
1010646,25738406,director
1137414,1308865,director
1022571,1300656,director
1255947,25932086,director
1274998,6860160,director
1280127,25855071,director
1037183,10535568,director
1002835,1293460,director
1049621,1293460,director
1275094,5964718,director
1054436,1293929,director
1338597,27072795,director
1056047,1291868,director
1279020,25858604,director
1054436,1309016,director
1054401,1857099,director
1054517,1857099,director
1288538,27000061,director
1004765,1305725,director
1274891,10537853,director
1056071,30198539,director
1012646,26773744,director
1018542,1297995,director
1050563,1297995,director
1314694,4826419,director
1007152,1298443,director
1009704,2357162,director
1299248,2357162,director
1049586,1292214,director
1044973,26701196,director
1355982,11600078,director
1054524,1397546,director
1274385,3006309,director
1274385,3743114,director
1054440,26990609,director
1049688,3072086,director
1035651,1291856,director
1280664,1294417,director
1044975,2124586,director
1331293,21937438,director
1054444,25787888,director
1018030,3073124,director
1332427,33404726,director
1304837,6536180,director
1047989,3530403,director
1161012,3530403,director
1013899,3530403,director
1054529,1295399,director
1014029,27093707,director
1165985,4798888,director
1045304,1920805,director
1028510,1308076,director
1054430,4319218,director
1307614,25823132,director
1274919,4009651,director
1276077,3824672,director
1277751,26778790,director
1036727,1291568,director
1032048,1388216,director
1018983,7059671,director
