person_id,name,name_cn,name_en
1349765,文牧野 Muye Wen,文牧野,Muye Wen
1047973,弗兰克·德拉邦特 Frank Darabont,弗兰克·德拉邦特,Frank Darabont
1054524,克里斯托弗·诺兰 Christopher Nolan,克里斯托弗·诺兰,Christopher Nolan
1328441,饺子 Yu Yang,饺子,Yu Yang
1054439,宫崎骏 Hayao Miyazaki,宫崎骏,Hayao Miyazaki
1286985,拜伦·霍华德 Byron Howard,拜伦·霍华德,Byron Howard
1324037,瑞奇·摩尔 Rich Moore,瑞奇·摩尔,Rich Moore
1304069,杰拉德·布什 Jared Bush,杰拉德·布什,Jared Bush
1274534,曾国祥 Derek Tsang,曾国祥,Derek Tsang
1022652,格蕾塔·葛韦格 Greta Gerwig,格蕾塔·葛韦格,Greta Gerwig
1022571,詹姆斯·卡梅隆 James Cameron,詹姆斯·卡梅隆,James Cameron
1031876,吕克·贝松 Luc Besson,吕克·贝松,Luc Besson
1036662,彼得·法雷里 Peter Farrelly,彼得·法雷里,Peter Farrelly
1366907,涅提·蒂瓦里 Nitesh Tiwari,涅提·蒂瓦里,Nitesh Tiwari
1022678,李·昂克里奇 Lee Unkrich,李·昂克里奇,Lee Unkrich
1370425,阿德里安·莫利纳 Adrian Molina,阿德里安·莫利纳,Adrian Molina
1023040,陈凯歌 Kaige Chen,陈凯歌,Kaige Chen
1031903,罗伯·莱纳 Rob Reiner,罗伯·莱纳,Rob Reiner
1286677,拉吉库马尔·希拉尼 Rajkumar Hirani,拉吉库马尔·希拉尼,Rajkumar Hirani
1005177,新海诚 Makoto Shinkai,新海诚,Makoto Shinkai
1049716,克里斯·哥伦布 Chris Columbus,克里斯·哥伦布,Chris Columbus
1062919,奉俊昊 Joon-ho Bong,奉俊昊,Joon-ho Bong
1022721,彼得·威尔 Peter Weir,彼得·威尔,Peter Weir
1322175,延尚昊 Sang-ho Yeon,延尚昊,Sang-ho Yeon
1054440,史蒂文·斯皮尔伯格 Steven Spielberg,史蒂文·斯皮尔伯格,Steven Spielberg
1045093,加布里埃莱·穆奇诺 Gabriele Muccino,加布里埃莱·穆奇诺,Gabriele Muccino
1321812,安东尼·罗素 Anthony Russo,安东尼·罗素,Anthony Russo
1320870,乔·罗素 Joe Russo,乔·罗素,Joe Russo
1018014,拉斯·霍尔斯道姆 Lasse Hallström,拉斯·霍尔斯道姆,Lasse Hallström
1275745,娜丁·拉巴基 Nadine Labaki,娜丁·拉巴基,Nadine Labaki
1021999,姜文 Wen Jiang,姜文,Wen Jiang
1275075,林超贤 Dante Lam,林超贤,Dante Lam
1048021,萨姆·门德斯 Sam Mendes,萨姆·门德斯,Sam Mendes
1326752,饶晓志 Xiaozhi Rao,饶晓志,Xiaozhi Rao
1323799,奥里奥尔·保罗 Oriol Paulo,奥里奥尔·保罗,Oriol Paulo
1277959,克里斯托夫·巴哈蒂 Christophe Barratier,克里斯托夫·巴哈蒂,Christophe Barratier
1106979,刘伟强 Andrew Lau,刘伟强,Andrew Lau
1126158,麦兆辉 Alan Mak,麦兆辉,Alan Mak
1022803,彼特·道格特 Pete Docter,彼特·道格特,Pete Docter
1294383,鲍勃·彼德森 Bob Peterson,鲍勃·彼德森,Bob Peterson
1036390,托德·菲利普斯 Todd Phillips,托德·菲利普斯,Todd Phillips
1054421,李安 Ang Lee,李安,Ang Lee
1306786,斯里兰姆·拉格万 Sriram Raghavan,斯里兰姆·拉格万,Sriram Raghavan
1274246,李力持 Lik-Chi Lee,李力持,Lik-Chi Lee
